gid,id,team,p_seq,p_h,p_r,p_er,p_w,p_hbp,p_wp,date,wl
SDN202303310,Luis Garcia,SDN,3,1,0,0,1,0,0,03/31/2023,l
SEA202303310,Hunter Gaddis,CLE,1,5,4,4,1,1,1,03/31/2023,w
SEA202303310,Nick Sandlin,CLE,2,1,0,0,0,0,0,03/31/2023,w
SEA202303310,Eli Morgan,CLE,3,1,0,0,1,0,0,03/31/2023,w
SEA202303310,Enyel De Los Santos,CLE,4,0,0,0,1,0,0,03/31/2023,w
SEA202303310,Trevor Stephan,CLE,5,0,0,0,0,0,0,03/31/2023,w
SEA202303310,Emmanuel Clase,CLE,6,0,0,0,0,0,0,03/31/2023,w
SEA202303310,Robbie Ray,SEA,1,4,5,3,5,0,1,03/31/2023,l
SEA202303310,Trevor Gott,SEA,2,4,3,0,0,0,0,03/31/2023,l
SEA202303310,Penn Murfee,SEA,3,1,0,0,0,0,0,03/31/2023,l
SEA202303310,Chris Flexen,SEA,4,4,1,1,3,0,0,03/31/2023,l
BOS202304010,Dean Kremer,BAL,1,6,5,5,1,0,1,04/01/2023,l
BOS202304010,Mike Baumann,BAL,2,0,0,0,0,0,0,04/01/2023,l
BOS202304010,Danny Coulombe,BAL,3,0,0,0,0,1,0,04/01/2023,l
BOS202304010,Austin Voth,BAL,4,1,1,1,1,0,0,04/01/2023,l
BOS202304010,Cionel Perez,BAL,5,3,1,1,0,0,0,04/01/2023,l
BOS202304010,Logan Gillaspie,BAL,6,0,0,0,0,1,0,04/01/2023,l
BOS202304010,Keegan Akin,BAL,7,0,0,0,0,0,0,04/01/2023,l
BOS202304010,Felix Bautista,BAL,8,1,2,0,0,0,0,04/01/2023,l
BOS202304010,Chris Sale,BOS,1,7,7,7,2,1,0,04/01/2023,w
BOS202304010,Zack Kelly,BOS,2,3,1,1,0,0,0,04/01/2023,w
BOS202304010,Josh Winckowski,BOS,3,1,0,0,0,0,0,04/01/2023,w
BOS202304010,John Schreiber,BOS,4,1,0,0,1,0,0,04/01/2023,w
BOS202304010,Chris Martin,BOS,5,0,0,0,0,0,0,04/01/2023,w
BOS202304010,Kenley Jansen,BOS,6,1,0,0,1,0,0,04/01/2023,w
CHN202304010,Brandon Woodruff,MIL,1,3,1,1,1,0,0,04/01/2023,w
CHN202304010,Peter Strzelecki,MIL,2,0,0,0,0,0,0,04/01/2023,w
CHN202304010,Matt Bush,MIL,3,0,0,0,0,0,0,04/01/2023,w
CHN202304010,Devin Williams,MIL,4,2,0,0,0,0,0,04/01/2023,w
CHN202304010,Justin Steele,CHN,1,3,0,0,1,0,0,04/01/2023,l
CHN202304010,Javier Assad,CHN,2,2,3,3,1,0,0,04/01/2023,l
CHN202304010,Michael Fulmer,CHN,3,1,0,0,1,0,0,04/01/2023,l
CHN202304010,Michael Rucker,CHN,4,0,0,0,0,0,0,04/01/2023,l
CHN202304010,Mark Leiter,CHN,5,0,0,0,1,0,0,04/01/2023,l
CIN202304010,Rich Hill,PIT,1,3,3,3,2,0,0,04/01/2023,l
CIN202304010,Chase De Jong,PIT,2,2,3,3,1,0,0,04/01/2023,l
CIN202304010,Jose Hernandez,PIT,3,1,0,0,0,0,1,04/01/2023,l
CIN202304010,Nick Lodolo,CIN,1,7,2,2,2,0,1,04/01/2023,w
CIN202304010,Ian Gibaut,CIN,2,0,0,0,0,0,0,04/01/2023,w
CIN202304010,Buck Farmer,CIN,3,0,0,0,0,0,0,04/01/2023,w
CIN202304010,Reiver Sanmartin,CIN,4,0,0,0,0,0,0,04/01/2023,w
CIN202304010,Alexis Diaz,CIN,5,0,0,0,0,0,0,04/01/2023,w
HOU202304010,Lucas Giolito,CHA,1,5,3,2,1,1,0,04/01/2023,l
HOU202304010,Jimmy Lambert,CHA,2,0,0,0,1,0,0,04/01/2023,l
HOU202304010,Joe Kelly,CHA,3,2,1,1,0,0,0,04/01/2023,l
HOU202304010,Jose Ruiz,CHA,4,2,2,2,1,1,0,04/01/2023,l
HOU202304010,Gregory Santos,CHA,5,2,0,0,0,0,0,04/01/2023,l
HOU202304010,Jose Urquidy,HOU,1,7,3,3,1,0,0,04/01/2023,w
HOU202304010,Ronel Blanco,HOU,2,0,0,0,1,0,1,04/01/2023,w
HOU202304010,Ryne Stanek,HOU,3,1,0,0,1,0,0,04/01/2023,w
HOU202304010,Hector Neris,HOU,4,2,1,1,1,0,0,04/01/2023,w
KCA202304010,Sonny Gray,MIN,1,3,0,0,4,0,0,04/01/2023,w
KCA202304010,Jorge Alcala,MIN,2,0,0,0,1,0,0,04/01/2023,w
KCA202304010,Griffin Jax,MIN,3,0,0,0,0,0,0,04/01/2023,w
KCA202304010,Caleb Thielbar,MIN,4,1,0,0,0,0,0,04/01/2023,w
KCA202304010,Jorge Lopez,MIN,5,0,0,0,0,0,0,04/01/2023,w
KCA202304010,Jordan Lyles,KCA,1,5,2,1,2,0,0,04/01/2023,l
KCA202304010,Ryan Yarbrough,KCA,2,0,0,0,0,0,0,04/01/2023,l
KCA202304010,Taylor Clarke,KCA,3,0,0,0,0,0,0,04/01/2023,l
KCA202304010,Aroldis Chapman,KCA,4,0,0,0,0,0,0,04/01/2023,l
LAN202304010,Madison Bumgarner,ARI,1,4,5,5,4,1,0,04/01/2023,l
LAN202304010,Kevin Ginkel,ARI,2,2,3,3,1,0,0,04/01/2023,l
LAN202304010,Cole Sulser,ARI,3,1,1,1,0,0,0,04/01/2023,l
LAN202304010,Carlos Vargas,ARI,4,1,1,1,0,0,0,04/01/2023,l
LAN202304010,Clayton Kershaw,LAN,1,4,1,1,0,0,0,04/01/2023,w
LAN202304010,Andre Jackson,LAN,2,1,0,0,0,0,0,04/01/2023,w
MIA202304010,Tylor Megill,NYN,1,6,2,2,2,0,0,04/01/2023,w
MIA202304010,Dennis Santana,NYN,2,0,0,0,0,0,0,04/01/2023,w
MIA202304010,Drew Smith,NYN,3,1,0,0,1,0,0,04/01/2023,w
MIA202304010,Brooks Raley,NYN,4,0,0,0,0,0,0,04/01/2023,w
MIA202304010,Adam Ottavino,NYN,5,2,0,0,0,0,0,04/01/2023,w
MIA202304010,David Robertson,NYN,6,1,0,0,0,0,0,04/01/2023,w
MIA202304010,Edward Cabrera,MIA,1,2,2,2,6,0,0,04/01/2023,l
MIA202304010,Andrew Nardi,MIA,2,3,2,2,0,0,0,04/01/2023,l
MIA202304010,Matt Barnes,MIA,3,1,0,0,0,0,0,04/01/2023,l
MIA202304010,Braxton Garrett,MIA,4,6,2,2,0,0,0,04/01/2023,l
NYA202304010,Alex Cobb,SFN,1,4,2,1,1,0,0,04/01/2023,w
NYA202304010,Jakob Junis,SFN,2,3,1,1,0,0,0,04/01/2023,w
NYA202304010,John Brebbia,SFN,3,0,0,0,0,0,0,04/01/2023,w
NYA202304010,Taylor Rogers,SFN,4,1,1,1,0,0,0,04/01/2023,w
NYA202304010,Camilo Doval,SFN,5,2,1,1,2,0,0,04/01/2023,w
NYA202304010,Clarke Schmidt,NYA,1,5,3,3,1,0,0,04/01/2023,l
NYA202304010,Wandy Peralta,NYA,2,0,0,0,0,1,0,04/01/2023,l
NYA202304010,Mike King,NYA,3,4,2,2,1,1,0,04/01/2023,l
NYA202304010,Albert Abreu,NYA,4,0,0,0,1,0,1,04/01/2023,l
NYA202304010,Clay Holmes,NYA,5,3,2,2,0,0,0,04/01/2023,l
NYA202304010,Jimmy Cordero,NYA,6,0,0,0,0,0,0,04/01/2023,l
OAK202304010,Patrick Sandoval,ANA,1,2,1,1,2,0,0,04/01/2023,w
OAK202304010,Tucker Davidson,ANA,2,3,0,0,1,0,0,04/01/2023,w
OAK202304010,Shintaro Fujinami,OAK,1,5,8,8,3,0,0,04/01/2023,l
OAK202304010,Adam Oller,OAK,2,6,5,4,2,0,1,04/01/2023,l
OAK202304010,Jeurys Familia,OAK,3,0,0,0,0,0,0,04/01/2023,l
OAK202304010,Sam Moll,OAK,4,0,0,0,1,0,0,04/01/2023,l
SDN202304010,Jose Urena,COL,1,5,4,4,4,0,0,04/01/2023,l
SDN202304010,Ty Blach,COL,2,3,2,2,1,0,0,04/01/2023,l
SDN202304010,Jake Bird,COL,3,1,0,0,0,0,0,04/01/2023,l
SDN202304010,Dinelson Lamet,COL,4,1,2,2,3,0,1,04/01/2023,l
SDN202304010,Michael Wacha,SDN,1,6,4,4,3,0,0,04/01/2023,w
SDN202304010,Steven Wilson,SDN,2,0,0,0,0,0,0,04/01/2023,w
SDN202304010,Tim Hill,SDN,3,0,0,0,0,1,0,04/01/2023,w
SDN202304010,Josh Hader,SDN,4,0,0,0,0,0,0,04/01/2023,w
SEA202304010,Aaron Civale,CLE,1,2,0,0,1,0,0,04/01/2023,w
SEA202304010,James Karinchak,CLE,2,1,0,0,1,0,0,04/01/2023,w
SEA202304010,Emmanuel Clase,CLE,3,0,0,0,0,0,0,04/01/2023,w
SEA202304010,Logan Gilbert,SEA,1,4,1,1,1,0,0,04/01/2023,l
SEA202304010,Diego Castillo,SEA,2,1,1,1,0,0,0,04/01/2023,l
SEA202304010,Gabe Speier,SEA,3,0,0,0,0,0,0,04/01/2023,l
SEA202304010,Matt Festa,SEA,4,0,0,0,2,0,1,04/01/2023,l
SLN202304010,Kevin Gausman,TOR,1,8,3,0,1,0,0,04/01/2023,l
SLN202304010,Adam Cimber,TOR,2,0,0,0,0,0,0,04/01/2023,l
SLN202304010,Erik Swanson,TOR,3,2,1,1,1,0,0,04/01/2023,l
SLN202304010,Jack Flaherty,SLN,1,0,0,0,7,1,0,04/01/2023,w
SLN202304010,Drew VerHagen,SLN,2,0,0,0,0,0,0,04/01/2023,w
SLN202304010,Andre Pallante,SLN,3,1,0,0,0,0,0,04/01/2023,w
SLN202304010,Jordan Hicks,SLN,4,0,1,1,3,0,1,04/01/2023,w
SLN202304010,Ryan Helsley,SLN,5,2,0,0,0,0,0,04/01/2023,w
TBA202304010,Spencer Turnbull,DET,1,8,7,7,3,1,1,04/01/2023,l
TBA202304010,Trey Wingenter,DET,2,2,1,1,1,1,1,04/01/2023,l
TBA202304010,Tyler Alexander,DET,3,2,2,2,0,0,0,04/01/2023,l
TBA202304010,Garrett Hill,DET,4,1,2,2,2,0,0,04/01/2023,l
TBA202304010,Jose Cisnero,DET,5,0,0,0,1,0,0,04/01/2023,l
TBA202304010,Zach Eflin,TBA,1,3,1,1,1,0,0,04/01/2023,w
TBA202304010,Kevin Kelly,TBA,2,2,1,1,0,0,0,04/01/2023,w
TBA202304010,Garrett Cleavinger,TBA,3,0,0,0,0,0,0,04/01/2023,w
TBA202304010,Calvin Faucher,TBA,4,1,0,0,1,0,0,04/01/2023,w
TEX202304010,Zack Wheeler,PHI,1,7,5,4,1,0,0,04/01/2023,l
TEX202304010,Yunior Marte,PHI,2,2,2,2,1,0,0,04/01/2023,l
TEX202304010,Jose Alvarado,PHI,3,1,0,0,0,0,0,04/01/2023,l
TEX202304010,Seranthony Dominguez,PHI,4,3,6,4,1,1,0,04/01/2023,l
TEX202304010,Andrew Bellatti,PHI,5,1,0,0,0,0,0,04/01/2023,l
TEX202304010,Craig Kimbrel,PHI,6,1,3,3,2,0,0,04/01/2023,l
TEX202304010,Josh Harrison,PHI,7,2,0,0,1,0,0,04/01/2023,l
TEX202304010,Nathan Eovaldi,TEX,1,6,3,3,2,0,0,04/01/2023,w
TEX202304010,Dane Dunning,TEX,2,3,0,0,0,0,0,04/01/2023,w
TEX202304010,Taylor Hearn,TEX,3,0,0,0,1,0,0,04/01/2023,w
WAS202304010,Spencer Strider,ATL,1,3,0,0,3,0,1,04/01/2023,w
WAS202304010,Nick Anderson,ATL,2,0,0,0,0,0,0,04/01/2023,w
WAS202304010,Joe Jimenez,ATL,3,1,0,0,0,0,0,04/01/2023,w
WAS202304010,Kirby Yates,ATL,4,1,1,1,0,0,0,04/01/2023,w
WAS202304010,Josiah Gray,WAS,1,7,5,5,2,0,1,04/01/2023,l
WAS202304010,Anthony Banda,WAS,2,1,0,0,0,0,0,04/01/2023,l
WAS202304010,Thaddeus Ward,WAS,3,2,2,2,0,0,0,04/01/2023,l
WAS202304010,Hobie Harris,WAS,4,1,0,0,0,0,0,04/01/2023,l
BOS202304020,Cole Irvin,BAL,1,8,6,6,2,0,0,04/02/2023,l
BOS202304020,Bryan Baker,BAL,2,1,0,0,0,0,1,04/02/2023,l
BOS202304020,Keegan Akin,BAL,3,2,2,2,0,0,0,04/02/2023,l
BOS202304020,Mike Baumann,BAL,4,3,1,1,2,0,1,04/02/2023,l
BOS202304020,Tanner Houck,BOS,1,5,3,3,1,0,0,04/02/2023,w
BOS202304020,John Schreiber,BOS,2,0,0,0,1,0,0,04/02/2023,w
BOS202304020,Richard Bleier,BOS,3,3,2,2,0,0,0,04/02/2023,w
BOS202304020,Chris Martin,BOS,4,1,0,0,0,0,0,04/02/2023,w
BOS202304020,Kaleb Ort,BOS,5,1,0,0,0,0,0,04/02/2023,w
