gid,id,team,p_ipouts,p_seq,p_h,p_r,p_er,p_w,p_hbp,p_wp,date,wl,team_name,ballpark,left_field,center_field,right_field,min_wall_height,max_wall_height,daynight,attendance,precip,sky,temp,winddir,windspeed,season_era
SEA202303300,deloe001,CLE,2,4,0,0,0,0,0,0,20230330,l,SEA,T-Mobile Park,331,405,327,7.0,15,night,45268,none,cloudy,54,tolf,11,3.289
SEA202303300,castl003,SEA,18,1,1,0,0,0,0,0,20230330,w,SEA,T-Mobile Park,331,405,327,7.0,15,night,45268,none,cloudy,54,tolf,11,3.335
SEA202303300,brasm001,SEA,3,2,1,0,0,0,0,0,20230330,w,SEA,T-Mobile Park,331,405,327,7.0,15,night,45268,none,cloudy,54,tolf,11,3.057
SEA202303300,sewap001,SEA,3,3,0,0,0,0,0,0,20230330,w,SEA,T-Mobile Park,331,405,327,7.0,15,night,45268,none,cloudy,54,tolf,11,3.439
SEA202303300,munoa002,SEA,3,4,2,0,0,0,0,0,20230330,w,SEA,T-Mobile Park,331,405,327,7.0,15,night,45268,none,cloudy,54,tolf,11,2.939
SLN202303300,manoa001,TOR,10,1,9,5,5,2,0,0,20230330,w,SLN,Busch Stadium,336,400,335,8.0,8,day,47649,none,sunny,70,tolf,16,5.874
SLN202303300,pop-z001,TOR,4,2,0,0,0,0,0,0,20230330,w,SLN,Busch Stadium,336,400,335,8.0,8,day,47649,none,sunny,70,tolf,16,6.585
SLN202303300,swane001,TOR,3,3,0,0,0,0,0,0,20230330,w,SLN,Busch Stadium,336,400,335,8.0,8,day,47649,none,sunny,70,tolf,16,2.912
SLN202303300,mayzt001,TOR,0,4,3,1,1,0,0,0,20230330,w,SLN,Busch Stadium,336,400,335,8.0,8,day,47649,none,sunny,70,tolf,16,1.509
SLN202303300,bassa001,TOR,1,5,1,1,1,1,0,0,20230330,w,SLN,Busch Stadium,336,400,335,8.0,8,day,47649,none,sunny,70,tolf,16,4.950
SLN202303300,cimba001,TOR,3,6,0,0,0,1,0,0,20230330,w,SLN,Busch Stadium,336,400,335,8.0,8,day,47649,none,sunny,70,tolf,16,7.403
SLN202303300,garcy001,TOR,3,7,2,2,2,2,0,0,20230330,w,SLN,Busch Stadium,336,400,335,8.0,8,day,47649,none,sunny,70,tolf,16,4.010
SLN202303300,romaj004,TOR,3,8,0,0,0,0,0,0,20230330,w,SLN,Busch Stadium,336,400,335,8.0,8,day,47649,none,sunny,70,tolf,16,2.819
SLN202303300,mikom001,SLN,10,1,10,5,5,0,1,0,20230330,l,SLN,Busch Stadium,336,400,335,8.0,8,day,47649,none,sunny,70,tolf,16,4.783
SLN202303300,thomz002,SLN,5,2,1,0,0,0,0,0,20230330,l,SLN,Busch Stadium,336,400,335,8.0,8,day,47649,none,sunny,70,tolf,16,4.477
SLN202303300,verhd001,SLN,2,3,1,0,0,0,0,0,20230330,l,SLN,Busch Stadium,336,400,335,8.0,8,day,47649,none,sunny,70,tolf,16,3.984
SLN202303300,palla001,SLN,4,4,2,1,1,1,0,0,20230330,l,SLN,Busch Stadium,336,400,335,8.0,8,day,47649,none,sunny,70,tolf,16,4.765
SLN202303300,hickj002,SLN,3,5,3,2,2,1,0,1,20230330,l,SLN,Busch Stadium,336,400,335,8.0,8,day,47649,none,sunny,70,tolf,16,3.240
SLN202303300,helsr001,SLN,3,6,2,2,2,1,0,0,20230330,l,SLN,Busch Stadium,336,400,335,8.0,8,day,47649,none,sunny,70,tolf,16,2.455
TBA202303300,rodre004,DET,16,1,3,3,3,2,0,0,20230330,l,TBA,Tropicana Field,315,404,322,9.0,11,day,25025,none,dome,72,unknown,0,3.301
TBA202303300,folej001,DET,2,2,2,0,0,0,0,0,20230330,l,TBA,Tropicana Field,315,404,322,9.0,11,day,25025,none,dome,72,unknown,0,2.609
TBA202303300,shrec001,DET,3,3,0,0,0,1,0,0,20230330,l,TBA,Tropicana Field,315,404,322,9.0,11,day,25025,none,dome,72,unknown,0,4.634
TBA202303300,englm001,DET,3,4,1,1,1,0,0,0,20230330,l,TBA,Tropicana Field,315,404,322,9.0,11,day,25025,none,dome,72,unknown,0,5.464
TBA202303300,mccls003,TBA,18,1,4,0,0,1,0,0,20230330,w,TBA,Tropicana Field,315,404,322,9.0,11,day,25025,none,dome,72,unknown,0,3.287
TBA202303300,pochc001,TBA,3,2,1,0,0,1,0,0,20230330,w,TBA,Tropicana Field,315,404,322,9.0,11,day,25025,none,dome,72,unknown,0,2.481
TBA202303300,adamj002,TBA,3,3,0,0,0,1,0,0,20230330,w,TBA,Tropicana Field,315,404,322,9.0,11,day,25025,none,dome,72,unknown,0,2.982
TBA202303300,fairp001,TBA,3,4,1,0,0,0,0,0,20230330,w,TBA,Tropicana Field,315,404,322,9.0,11,day,25025,none,dome,72,unknown,0,2.581
TEX202303300,nolaa001,PHI,11,1,4,5,5,2,0,0,20230330,l,TEX,Globe Life Field,329,407,326,8.0,14,day,38387,none,cloudy,69,unknown,12,4.237
TEX202303300,sotog003,PHI,0,2,2,4,3,2,0,0,20230330,l,TEX,Globe Life Field,329,407,326,8.0,14,day,38387,none,cloudy,69,unknown,12,4.689
TEX202303300,brogc001,PHI,3,3,3,2,2,0,0,0,20230330,l,TEX,Globe Life Field,329,407,326,8.0,14,day,38387,none,cloudy,69,unknown,12,4.034
TEX202303300,vasqa002,PHI,4,4,1,0,0,1,0,0,20230330,l,TEX,Globe Life Field,329,407,326,8.0,14,day,38387,none,cloudy,69,unknown,12,3.352
TEX202303300,bella001,PHI,3,5,0,0,0,1,0,0,20230330,l,TEX,Globe Life Field,329,407,326,8.0,14,day,38387,none,cloudy,69,unknown,12,5.108
TEX202303300,stram001,PHI,3,6,0,0,0,0,0,0,20230330,l,TEX,Globe Life Field,329,407,326,8.0,14,day,38387,none,cloudy,69,unknown,12,3.097
TEX202303300,degrj001,TEX,11,1,6,5,5,0,0,1,20230330,w,TEX,Globe Life Field,329,407,326,8.0,14,day,38387,none,cloudy,69,unknown,12,2.670
TEX202303300,ragac001,TEX,1,2,1,0,0,1,0,0,20230330,w,TEX,Globe Life Field,329,407,326,8.0,14,day,38387,none,cloudy,69,unknown,12,3.469
TEX202303300,burkb001,TEX,6,3,3,1,1,0,0,0,20230330,w,TEX,Globe Life Field,329,407,326,8.0,14,day,38387,none,cloudy,69,unknown,12,5.072
TEX202303300,hernj004,TEX,6,4,1,1,1,0,0,0,20230330,w,TEX,Globe Life Field,329,407,326,8.0,14,day,38387,none,cloudy,69,unknown,12,5.400
TEX202303300,leclj001,TEX,3,5,1,0,0,1,0,0,20230330,w,TEX,Globe Life Field,329,407,326,8.0,14,day,38387,none,cloudy,69,unknown,12,2.802
WAS202303300,friem001,ATL,10,1,4,1,1,0,0,0,20230330,w,WAS,Nationals Park,336,402,335,8.0,12,day,35756,none,sunny,45,torf,8,2.755
WAS202303300,luetl001,ATL,3,2,2,1,1,0,0,0,20230330,w,WAS,Nationals Park,336,402,335,8.0,12,day,35756,none,sunny,45,torf,8,7.244
WAS202303300,chavj001,ATL,4,3,2,0,0,0,0,0,20230330,w,WAS,Nationals Park,336,402,335,8.0,12,day,35756,none,sunny,45,torf,8,1.558
WAS202303300,lee-d005,ATL,2,4,0,0,0,1,0,0,20230330,w,WAS,Nationals Park,336,402,335,8.0,12,day,35756,none,sunny,45,torf,8,4.183
WAS202303300,mchuc001,ATL,5,5,0,0,0,2,0,0,20230330,w,WAS,Nationals Park,336,402,335,8.0,12,day,35756,none,sunny,45,torf,8,4.295
WAS202303300,minta001,ATL,3,6,0,0,0,1,0,0,20230330,w,WAS,Nationals Park,336,402,335,8.0,12,day,35756,none,sunny,45,torf,8,3.627
WAS202303300,corbp001,WAS,9,1,7,4,2,3,0,1,20230330,l,WAS,Nationals Park,336,402,335,8.0,12,day,35756,none,sunny,45,torf,8,5.200
WAS202303300,ramie004,WAS,6,2,2,0,0,1,0,0,20230330,l,WAS,Nationals Park,336,402,335,8.0,12,day,35756,none,sunny,45,torf,8,6.414
WAS202303300,thomm005,WAS,6,3,1,0,0,0,0,0,20230330,l,WAS,Nationals Park,336,402,335,8.0,12,day,35756,none,sunny,45,torf,8,5.500
WAS202303300,harvh001,WAS,3,4,1,0,0,0,0,0,20230330,l,WAS,Nationals Park,336,402,335,8.0,12,day,35756,none,sunny,45,torf,8,2.819
WAS202303300,finnk001,WAS,3,5,1,3,2,2,0,0,20230330,l,WAS,Nationals Park,336,402,335,8.0,12,day,35756,none,sunny,45,torf,8,3.764
HOU202303310,lynnl001,CHA,17,1,3,2,2,4,1,0,20230331,l,HOU,Minute Maid Park,315,409,326,7.0,21,night,41453,none,dome,73,unknown,0,5.844
HOU202303310,lambj003,CHA,1,2,0,0,0,0,0,0,20230331,l,HOU,Minute Maid Park,315,409,326,7.0,21,night,41453,none,dome,73,unknown,0,5.257
HOU202303310,gravk001,CHA,2,3,2,3,3,2,0,0,20230331,l,HOU,Minute Maid Park,315,409,326,7.0,21,night,41453,none,dome,73,unknown,0,3.121
HOU202303310,diekj001,CHA,1,4,1,1,1,1,0,0,20230331,l,HOU,Minute Maid Park,315,409,326,7.0,21,night,41453,none,dome,73,unknown,0,3.277
HOU202303310,ruizj001,CHA,3,5,1,0,0,0,0,0,20230331,l,HOU,Minute Maid Park,315,409,326,7.0,21,night,41453,none,dome,73,unknown,0,5.887
HOU202303310,javic001,HOU,15,1,8,3,3,1,0,0,20230331,w,HOU,Minute Maid Park,315,409,326,7.0,21,night,41453,none,dome,73,unknown,0,4.526
HOU202303310,matop002,HOU,3,2,0,0,0,0,1,0,20230331,w,HOU,Minute Maid Park,315,409,326,7.0,21,night,41453,none,dome,73,unknown,0,2.750
HOU202303310,marts003,HOU,3,3,1,0,0,0,0,0,20230331,w,HOU,Minute Maid Park,315,409,326,7.0,21,night,41453,none,dome,73,unknown,0,5.233
HOU202303310,abreb002,HOU,3,4,1,0,0,0,0,0,20230331,w,HOU,Minute Maid Park,315,409,326,7.0,21,night,41453,none,dome,73,unknown,0,2.017
HOU202303310,montr004,HOU,3,5,1,0,0,0,0,0,20230331,w,HOU,Minute Maid Park,315,409,326,7.0,21,night,41453,none,dome,73,unknown,0,4.977
LAN202303310,kellm002,ARI,11,1,3,0,0,4,0,0,20230331,w,LAN,Dodger Stadium,330,395,330,4.5,8,night,45389,none,cloudy,56,ltor,9,3.169
LAN202303310,jamed003,ARI,12,2,2,1,1,3,0,0,20230331,w,LAN,Dodger Stadium,330,395,330,4.5,8,night,45389,none,cloudy,56,ltor,9,3.320
LAN202303310,mcgos001,ARI,1,3,0,0,0,2,0,1,20230331,w,LAN,Dodger Stadium,330,395,330,4.5,8,night,45389,none,cloudy,56,ltor,9,4.735
LAN202303310,chafa001,ARI,3,4,0,0,0,0,0,0,20230331,w,LAN,Dodger Stadium,330,395,330,4.5,8,night,45389,none,cloudy,56,ltor,9,4.734
LAN202303310,may-d003,LAN,21,1,3,0,0,1,0,0,20230331,l,LAN,Dodger Stadium,330,395,330,4.5,8,night,45389,none,cloudy,56,ltor,9,2.625
LAN202303310,vesia001,LAN,2,2,3,2,2,0,0,0,20230331,l,LAN,Dodger Stadium,330,395,330,4.5,8,night,45389,none,cloudy,56,ltor,9,4.355
