gid,daynight,attendance,precip,sky,temp,winddir,windspeed
SDN202304130,night,43296,none,cloudy,55,ltor,8
SLN202304130,night,37805,none,sunny,79,tolf,10
TBA202304130,day,21175,none,dome,72,unknown,0
TOR202304130,night,26192,none,sunny,59,torf,5
BOS202304140,night,36680,none,cloudy,58,tolf,4
CHA202304140,night,18941,none,cloudy,72,torf,9
CIN202304140,night,17610,none,cloudy,81,fromrf,6
DET202304140,night,15289,none,cloudy,80,fromlf,9
HOU202304140,night,39343,none,dome,73,unknown,0
KCA202304140,night,20186,none,cloudy,77,rtol,12
LAN202304140,night,52298,none,sunny,59,ltor,4
MIA202304140,night,10961,none,dome,72,unknown,0
NYA202304140,night,41039,none,cloudy,78,tolf,14
OAK202304140,night,11102,none,sunny,56,torf,12
SDN202304140,night,43822,none,cloudy,59,ltor,8
SEA202304140,night,32698,none,sunny,56,unknown,0
SLN202304140,night,40637,none,sunny,78,rtol,12
TOR202304140,night,34822,none,sunny,59,tolf,11
WAS202304140,night,21367,none,cloudy,73,tolf,7
BOS202304150,day,36594,none,cloudy,56,fromrf,4
CHA202304150,day,32091,none,cloudy,77,tolf,10
CIN202304150,day,25860,none,cloudy,79,unknown,8
DET202304150,day,18344,none,cloudy,76,fromcf,4
HOU202304150,night,39257,none,dome,73,unknown,0
KCA202304150,day,17644,none,overcast,46,ltor,16
LAN202304150,night,52375,none,sunny,64,torf,6
MIA202304150,day,11038,none,dome,72,unknown,0
NYA202304150,day,38363,none,overcast,68,fromcf,11
OAK202304150,day,12967,none,sunny,58,torf,6
SDN202304150,day,42284,none,sunny,64,ltor,9
SEA202304150,night,27549,none,dome,51,unknown,0
SLN202304150,day,40042,rain,overcast,70,fromrf,10
TOR202304150,day,41679,none,cloudy,63,rtol,9
WAS202304150,day,24909,none,cloudy,72,tocf,7
BOS202304160,day,34790,none,cloudy,54,rtol,3
CHA202304160,day,13794,none,overcast,43,fromlf,8
CIN202304160,day,13115,none,cloudy,57,tolf,17
HOU202304160,night,39122,none,dome,73,unknown,0
KCA202304160,day,22040,none,cloudy,51,ltor,21
LAN202304160,day,52180,none,cloudy,63,ltor,5
MIA202304160,day,15314,none,dome,72,unknown,0
NYA202304160,day,39342,none,cloudy,65,rtol,6
OAK202304160,day,17645,none,cloudy,59,unknown,15
SDN202304160,day,43875,none,overcast,62,ltor,7
SEA202304160,day,23585,none,dome,48,unknown,0
SLN202304160,day,40346,none,overcast,47,torf,17
TOR202304160,day,39179,none,sunny,66,rtol,12
WAS202304160,day,21929,none,cloudy,79,tocf,2
BOS202304170,day,34942,none,cloudy,50,torf,3
CIN202304170,night,7375,none,cloudy,52,tolf,12
COL202304170,night,20322,none,cloudy,72,fromcf,4
HOU202304170,night,30873,none,dome,73,unknown,0
KCA202304170,night,11068,none,sunny,69,ltor,6
LAN202304170,night,50313,none,sunny,58,ltor,4
MIA202304170,night,8744,none,dome,72,unknown,0
OAK202304170,night,4714,none,cloudy,56,torf,15
SDN202304170,night,31846,none,cloudy,58,ltor,6
SEA202304170,night,14276,none,cloudy,48,tolf,9
SLN202304170,night,36405,none,sunny,67,torf,17
BOS202304180,night,28132,none,cloudy,54,unknown,5
CHA202304181,day,0,none,sunny,53,tocf,9
CHA202304182,day,12542,none,sunny,54,fromcf,6
CIN202304180,night,11304,none,sunny,66,tolf,11
COL202304180,night,19495,none,cloudy,73,ltor,12
DET202304181,day,0,none,cloudy,39,rtol,16
DET202304182,day,10099,none,cloudy,46,tolf,17
HOU202304180,night,32602,none,dome,73,unknown,0
KCA202304180,night,12118,none,sunny,80,rtol,15
LAN202304180,night,46884,none,cloudy,59,ltor,2
MIA202304180,night,8783,none,dome,72,unknown,0
NYA202304180,night,37883,none,sunny,52,unknown,16
OAK202304180,night,5196,none,sunny,53,torf,16
SDN202304180,night,42693,none,cloudy,60,ltor,9
SEA202304180,night,18206,none,dome,46,unknown,0
SLN202304180,night,36028,none,cloudy,71,fromlf,10
WAS202304180,night,18747,none,sunny,69,torf,12
BOS202304190,night,30027,none,cloudy,46,ltor,4
CHA202304190,day,10149,none,cloudy,60,fromcf,14
CIN202304190,day,10205,none,sunny,68,unknown,6
COL202304190,day,18511,none,cloudy,55,rtol,9
DET202304190,day,11230,none,sunny,47,ltor,6
HOU202304190,night,40545,none,dome,73,unknown,0
KCA202304190,day,10388,none,cloudy,73,rtol,18
LAN202304190,day,43990,none,sunny,68,torf,3
MIA202304190,day,8272,none,dome,72,unknown,0
NYA202304190,night,38131,none,sunny,61,ltor,9
OAK202304190,day,12112,none,cloudy,56,unknown,8
SDN202304190,day,29581,none,cloudy,64,ltor,11
SEA202304190,day,17461,none,dome,48,unknown,0
SLN202304190,day,39068,none,sunny,78,fromrf,16
WAS202304190,night,22598,none,sunny,74,tolf,2
ARI202304200,night,16734,none,sunny,82,rtol,4
BOS202304200,day,34427,none,sunny,55,ltor,4
CHN202304200,night,32817,none,cloudy,70,tocf,14
NYA202304200,day,39315,none,sunny,63,tolf,7
PHI202304200,night,35062,none,sunny,75,tolf,3
PIT202304200,night,14051,none,cloudy,83,tolf,12
SFN202304200,night,24452,none,sunny,59,tocf,12
ANA202304210,night,44741,none,sunny,83,rtol,8
ARI202304210,night,21308,none,sunny,85,ltor,8
ATL202304210,night,41397,none,overcast,75,ltor,7
BAL202304210,night,18772,none,sunny,80,tolf,8
CHN202304210,day,30381,none,cloudy,53,tolf,9
MIL202304210,night,24976,none,dome,62,unknown,0
MIN202304210,night,12469,none,cloudy,37,tocf,9
NYA202304210,night,39025,none,cloudy,60,tolf,11
PHI202304210,night,43261,none,sunny,73,tolf,7
PIT202304210,night,17276,none,sunny,82,tolf,11
SEA202304210,night,29633,none,cloudy,52,unknown,1
SFN202304210,night,27551,none,cloudy,62,tocf,8
TBA202304210,night,17973,none,dome,72,unknown,0
TEX202304210,night,28775,none,cloudy,73,unknown,7
ANA202304220,night,44148,none,cloudy,77,rtol,7
ARI202304220,night,28419,none,cloudy,93,ltor,5
ATL202304220,night,42399,none,sunny,68,tolf,5
BAL202304220,night,12194,none,overcast,59,unknown,0
CHN202304220,day,35076,none,overcast,41,torf,14
CLE202304221,day,0,none,cloudy,50,unknown,6
CLE202304222,day,14478,none,cloudy,49,unknown,5
MIL202304220,night,31965,none,dome,62,unknown,0
MIN202304220,day,23045,none,cloudy,35,fromlf,12
NYA202304220,day,43223,none,sunny,60,fromrf,16
PHI202304220,day,41939,none,cloudy,78,tocf,8
PIT202304220,night,12575,none,cloudy,56,tolf,9
SEA202304220,night,38732,none,cloudy,59,fromlf,6
SFN202304220,day,29912,none,sunny,66,tocf,12
TBA202304220,day,22333,none,dome,72,unknown,0
TEX202304220,night,32388,none,dome,74,unknown,0
ANA202304230,day,36016,none,sunny,76,tolf,9
ARI202304230,day,23655,none,dome,76,unknown,0
ATL202304230,day,41530,none,sunny,64,rtol,8
BAL202304230,day,36975,none,cloudy,64,ltor,10
CHN202304230,day,33494,none,cloudy,42,torf,4
CLE202304230,day,12664,none,cloudy,46,ltor,13
MIL202304230,day,26939,none,dome,61,unknown,0
MIN202304230,day,14763,none,cloudy,40,tocf,10
NYA202304230,day,39293,none,cloudy,62,fromrf,6
PHI202304230,day,44618,none,sunny,63,ltor,13
PIT202304230,day,11372,none,cloudy,47,tolf,12
SEA202304230,day,36249,none,cloudy,54,tolf,15
SFN202304230,day,27721,none,cloudy,61,tocf,18
TBA202304230,day,22702,none,dome,72,unknown,0
TEX202304230,day,34916,none,dome,74,unknown,0
ANA202304240,night,23814,none,sunny,67,tolf,8
ARI202304240,night,9815,none,cloudy,87,fromrf,5
ATL202304240,night,28241,none,sunny,65,unknown,2
BAL202304240,night,11811,none,cloudy,59,torf,8
CIN202304240,night,8810,none,cloudy,51,tocf,7
CLE202304240,night,9258,none,sunny,44,tolf,11
MIL202304240,night,23201,none,dome,62,unknown,0
MIN202304240,night,16242,none,cloudy,49,fromlf,7
SFN202304240,night,20203,none,cloudy,58,tocf,15
TBA202304240,night,10611,none,dome,72,unknown,0
TOR202304240,night,26293,none,dome,68,unknown,0
ANA202304250,night,26971,none,cloudy,65,rtol,8
ARI202304250,night,13835,none,sunny,86,torf,15
ATL202304250,night,34059,none,cloudy,69,ltor,6
BAL202304250,night,14343,none,cloudy,59,tolf,4
CHN202304250,night,27956,none,sunny,41,fromlf,13
CIN202304250,night,9969,none,cloudy,60,ltor,7
CLE202304250,night,9493,none,overcast,45,unknown,0
MIL202304250,night,24924,none,dome,64,unknown,0
MIN202304250,night,19201,none,cloudy,50,fromcf,8
NYN202304250,night,20507,none,cloudy,57,torf,4
PHI202304250,night,42323,none,cloudy,57,torf,6
PIT202304250,night,10560,none,cloudy,56,tocf,6
SFN202304250,night,20797,none,sunny,63,tocf,16
TBA202304250,night,9916,none,dome,72,unknown,0
TOR202304250,night,28917,none,dome,68,unknown,0
ANA202304260,night,24524,none,sunny,73,tolf,7
ARI202304260,day,14343,none,dome,82,unknown,0
ATL202304260,night,30282,none,overcast,55,torf,7
BAL202304260,day,12044,none,cloudy,61,tolf,7
